patient_id,coordinates,cluster_id
13533,"(7.844888061176701, 3.9847156045915906)",19
13534,"(-0.701996312163284, 1.6537994988930667)",1
13535,"(3.834664954244723, 0.15063110112847533)",1
13536,"(-8.29269220261582, 6.9255777839212564)",8
13537,"(-3.666163876395046, 7.484429105778776)",3
13538,"(-9.90938033388076, 7.191015726637045)",8
13539,"(9.302241214241345, 6.573296485244023)",10
13540,"(0.7455809755294864, 7.168800261042309)",3
13541,"(-1.049625822569279, 3.2185692378151067)",16
13542,"(-0.5178336483312264, 2.2334243916854994)",16
13543,"(-0.1632909940602979, 6.213093266787959)",11
13544,"(-4.304022904020866, 3.0420857256423797)",15
13545,"(2.6126110055609355, 1.6765009364595564)",1
13546,"(-9.102343494999323, 6.8672414374357205)",8
13547,"(-8.299965930845485, 9.015556624221077)",8
13548,"(-8.304907672120605, 3.229143686613467)",12
13549,"(-6.983839397150942, 9.532164132529603)",13
13550,"(-9.47549165843911, 7.162510367559495)",8
13551,"(-6.674506119649116, 2.5752949600141024)",12
13552,"(6.431376541226911, 4.564802052857791)",19
13553,"(0.1504725073783586, 7.694864017374584)",6
13554,"(2.2229115172585923, 8.652289950091932)",6
13555,"(2.4181213427705295, 2.0603703789668693)",18
13556,"(1.277912497103999, 2.1947598157844106)",1
13557,"(4.053501051657967, 6.023336289930748)",9
13558,"(-7.172533934514592, 4.556199630325598)",12
13559,"(-0.20629416092513841, 4.551674053224597)",11
13560,"(-1.5403764524281185, 8.211921650094176)",3
13561,"(-5.354752174613402, 5.349086802971695)",15
13562,"(1.4211235167330036, 4.300024510303366)",0
13563,"(8.994591551491594, 8.084871700452759)",10
13564,"(-7.898491287425532, 6.510107365513131)",8
13565,"(2.0154276414807777, 0.18767805726125386)",1
13566,"(-5.25703367710172, 4.108907864927288)",15
13567,"(-1.9135941112137687, 3.93881223357717)",2
13568,"(9.794239367227602, 7.505759209411083)",10
13569,"(-0.8338843301849169, 1.0928746526861453)",16
13570,"(7.266344510841652, 1.3401455635071153)",5
13571,"(-0.08196753220094788, 3.0908241154978313)",2
13572,"(0.42119643129984774, 4.401573436677398)",0
13573,"(-0.7240925295976416, 7.906090209570997)",3
13574,"(5.862067510657825, 8.687618464609775)",9
13575,"(-9.181009938762374, 2.4966979922485293)",17
13576,"(-9.24087010473859, 4.976626317877011)",8
13577,"(-3.38152977447588, 3.9380481621677443)",2
13578,"(1.9291196367921595, 9.170681887489373)",6
13579,"(9.83741238046548, 2.935123275903689)",19
13580,"(2.940607268259246, -0.2961786923855132)",18
13581,"(1.5507337939501653, -3.280576032984766)",14
13582,"(-0.28601806881136194, -1.3736324441003531)",14
13583,"(-0.665828091096786, 1.5053574297278591)",2
13584,"(1.0184847558442094, 3.44854796315967)",18
13585,"(2.0885586715399143, 0.28254836595236277)",1
13586,"(9.07249427914707, 2.739264202234527)",19
13587,"(-1.251217635417318, 1.5728786450328913)",2
13588,"(-3.0346683073203815, 2.4160800971970007)",2
13589,"(1.21166743227803, -0.9928762668576847)",14
13590,"(0.4354179768504951, 3.828511751009774)",11
13591,"(4.508302971019777, 1.6164568393731185)",1
13592,"(-0.588844619110737, 2.142362686739399)",2
13593,"(-7.977159824537099, 3.398714132857471)",17
13594,"(8.012037343828311, 5.325958844120681)",19
13595,"(-1.7025775428374341, 6.7182149703990515)",3
13596,"(6.492700016138068, 0.20893533593616204)",5
13597,"(8.550755215536064, 4.512633612764725)",19
13598,"(-0.028078525492613637, -1.2936632472452043)",14
13599,"(8.778868624331345, -2.325574199292841)",4
13600,"(10.156037196683535, -1.847628380559444)",4
13601,"(1.3811369754448228, 2.185717871538237)",18
13602,"(-1.8232963321486688, 1.9074511305088655)",16
13603,"(-7.362454313249819, 10.504727907499122)",13
13604,"(-9.668061417252547, 3.0218785879422017)",17
13605,"(-4.206436255547472, 4.789358217150771)",15
13606,"(-0.2414403831328854, -1.0690431087864232)",16
13607,"(0.42581422269024705, 3.1100548755961226)",0
13608,"(9.098249535072716, 6.7754964529395405)",10
13609,"(-4.499645418357811, 3.762686240990411)",15
13610,"(4.544490377519637, 7.320195101274748)",9
13611,"(-8.24159144697478, 2.1494256441499706)",12
13612,"(1.0991155269731003, 6.96830508614856)",6
13613,"(4.70093594159943, 0.4011171361833279)",5
13614,"(0.8709212896723513, 0.7879500964998556)",1
13615,"(-7.642506534736354, 9.003815046014251)",13
13616,"(0.1468827167339981, 0.5604084871755282)",14
13617,"(5.057124069218434, 6.806882363085278)",9
13618,"(-5.473363152507307, 8.419738972138182)",15
13619,"(-0.906366588433916, -1.6726420419092227)",14
13620,"(-0.45558643120557807, 6.215107689998214)",11
13621,"(5.566955097617696, 7.67242938349299)",9
13622,"(-9.442309248050693, 1.6080088772730732)",17
13623,"(-8.503056790790856, -7.121011806333557)",7
13624,"(4.266731654189087, 1.1758118660669745)",5
13625,"(-0.587981806714239, 6.0370576253235555)",11
13626,"(10.170775087370927, 5.843265012643826)",10
13627,"(-9.39602476570001, 6.187503385550963)",8
13628,"(-5.855472579442591, 6.136565829512734)",15
13629,"(-0.886053487414453, 6.205450516762639)",11
13630,"(2.3472590848376162, 3.793944085309911)",0
13631,"(-7.267816615194022, 8.12961511382128)",13
13632,"(7.842804870848922, -2.8344378992747457)",4
13633,"(-2.7069578872213667, 7.275518436893146)",3
13634,"(-7.362457630539572, 1.9570587862275262)",12
13635,"(9.994142017211358, 6.777846865265275)",10
13636,"(10.4951342617338, 5.448831816277755)",10
13637,"(-9.515719933439144, 5.696703594634935)",8
13638,"(-0.5103299835103112, 2.8995175649748703)",2
13639,"(7.28890382621718, 0.5508955311762358)",5
13640,"(-10.53641638513718, 3.0638568275886646)",17
13641,"(-1.0906722717848336, 1.0517461314003806)",16
13642,"(7.994133031985346, 6.952334586571556)",10
13643,"(-1.4141658252222327, 7.405014013736653)",3
13644,"(-8.352735500653049, -8.654800341054735)",7
13645,"(-9.211893002562158, -9.006657360218512)",7
13646,"(-7.815262755972317, 2.4297014536700163)",17
13647,"(1.053441056315899, -2.3374719403578434)",14
13648,"(-8.583380318833607, -9.331534812419422)",7
13649,"(-4.982888802604618, 4.782482082843339)",15
13650,"(-8.165628424317703, 7.630219935031498)",13
13651,"(2.304488355247632, 1.6818221665639488)",1
13652,"(2.597602903545867, 3.486420393998241)",18
13653,"(3.0652504238767357, 1.33920831684602)",18
13654,"(-4.232769796674843, 5.700096626159797)",15
13655,"(-9.03523483028048, 2.6480932208356958)",12
13656,"(-3.1285432204947323, 4.008482919369251)",2
13657,"(6.407903291314289, 5.6152075453052035)",9
13658,"(-8.156097895851172, 1.7898047247132145)",12
13659,"(1.1274171106926514, 5.626878635429576)",0
13660,"(-0.4098216755074068, 7.829788446093795)",3
13661,"(-1.1421050061510072, 8.83226095003894)",3
13662,"(-9.080122302887945, 3.5714377271813325)",17
13663,"(-1.1075361271028383, 1.8253329621819399)",16
13664,"(0.07996286305490125, -3.4970332976505736)",14
13665,"(9.308666983291737, 3.8399723257800558)",19
13666,"(-3.8639560805711346, 4.952237105410472)",15
13667,"(-0.5362654722418974, 9.139625332622455)",3
13668,"(-1.1952288345081454, 8.677393320555677)",3
13669,"(-9.022744861474216, -8.926040744678355)",7
13670,"(1.574255975333887, -0.969836781138988)",14
13671,"(-0.34212799287511864, 3.222935399439029)",18
13672,"(-1.0054394335657648, 5.413528105274939)",11
13673,"(1.9524322352568544, 8.451013624886066)",3
13674,"(-1.6097581064109792, 5.930050894208088)",3
13675,"(6.77232644519832, 0.24609980600949577)",5
13676,"(-8.168259011495389, 2.7733587453664983)",12
13677,"(10.924886301357981, -2.3550847481441544)",4
13678,"(5.435310791728355, -0.6041351877114294)",5
13679,"(-1.7846951303627394, 3.763834143682519)",2
13680,"(-6.485917860692669, 10.743693302559699)",13
13681,"(2.628362369928327, 10.037945239460957)",6
13682,"(0.5329036691574311, 1.8196877790467918)",1
13683,"(-8.322934614010107, 2.1584100555680292)",12
13684,"(-9.92100580938547, 8.1332609090732)",8
13685,"(-2.6487049359676504, 2.0753004043000502)",2
13686,"(0.34194798486553146, 3.941046161461252)",0
13687,"(-9.774188293010575, 7.406428393264218)",8
13688,"(1.7965918758079167, 5.6637358691278745)",0
13689,"(0.05244247711739547, 8.721443187362052)",3
13690,"(-9.005983420962998, 6.237034229012508)",8
13691,"(-0.8976612642885132, 1.8467147892135407)",2
13692,"(-3.1842040187263625, 6.983960067758371)",15
13693,"(5.169998365161113, -0.9744581928392717)",5
13694,"(2.0286943524052674, 0.5490641179085547)",18
13695,"(-1.7280603612756114, 1.8214953405405239)",16
13696,"(6.4448113106427005, 7.236475807420134)",9
13697,"(0.22150765974167985, 1.8926386437220977)",16
13698,"(2.837535204293929, 2.4658292905286063)",18
13699,"(10.675586585890374, 6.369510688633423)",10
13700,"(0.005168174224812749, 0.10132167821303861)",16
13701,"(-7.282260559509198, -7.718809445785375)",7
13702,"(10.052698083261987, 7.34380453185517)",10
13703,"(-10.475262148490788, 7.939898906150569)",8
13704,"(-7.622863423978456, 10.113402606234617)",13
13705,"(2.5683193962390134, 4.773094152305163)",18
13706,"(10.49688793061184, -1.3471262913682336)",4
13707,"(-6.242407512320294, 5.404890985134042)",15
13708,"(10.329253269766552, 3.987824877729121)",10
13709,"(1.3326364757208968, 5.010360495640338)",0
13710,"(0.019160159501109275, 1.7367571425883366)",16
13711,"(1.2532291754490306, -0.47875731648027653)",1
13712,"(3.4321798696758297, 2.571754885035137)",18
13713,"(-9.042054302385639, -8.282318603091785)",7
13714,"(2.8741636766288603, 1.3623402404623233)",1
13715,"(-11.743094200190697, 1.549172598594961)",17
13716,"(7.477074730455827, 2.23468758452044)",5
13717,"(-6.915681494991604, 11.855322987070451)",13
13718,"(-0.14549653280974129, 5.336770424749756)",11
13719,"(9.165185238371883, 6.725766557660642)",10
13720,"(-2.1335131324197993, 1.4019842601702324)",16
13721,"(0.7865820979362148, 4.097005708993449)",18
13722,"(0.2159117341932475, 0.12846138762026804)",16
13723,"(1.459242842706243, 8.859741722832501)",6
13724,"(-4.145205655164736, 5.742238668569133)",15
13725,"(-7.859307947206242, 3.3722702103147197)",12
13726,"(2.037572101001271, 2.9378965806656523)",18
13727,"(2.2062677373411894, 8.59202063199163)",6
13728,"(5.034496286828734, 6.516151536990601)",9
13729,"(-8.159229353989568, 1.0432778123557742)",17
13730,"(1.9991990234159223, 3.0706595797168923)",1
13731,"(-6.865250820755352, 2.0322314998458686)",12
13732,"(1.7144322130496874, 0.4595961588819862)",1
13733,"(4.5070440875374, -0.132843875239829)",5
13734,"(5.46845012940659, 6.595751557425791)",9
13735,"(1.8020613435319346, 2.4603688357953337)",18
13736,"(2.943684101617647, -0.2136596514737994)",1
13737,"(-8.431957955405828, 8.625214213263549)",13
13738,"(1.6086240279241188, 0.18106186446676253)",1
13739,"(-1.3757073530627721, 7.22788407293281)",11
13740,"(-7.8972227630047875, 3.6835706104424015)",12
13741,"(-9.792831317836105, 2.5082428606856206)",17
13742,"(-1.4557008817880175, 6.48663327780842)",11
13743,"(5.883249589947253, -0.2225650160891457)",5
13744,"(-10.299113225274123, -8.069180048951655)",7
13745,"(-8.913864217657288, 2.4885829612512342)",17
13746,"(1.8226261683055531, 9.763793392355538)",6
13747,"(1.1031821712501149, 4.705776690893091)",0
13748,"(9.43017319106856, 6.079459246934458)",10
13749,"(5.765464776706662, 8.019102788801453)",9
13750,"(-9.123903271530374, 6.923105506174549)",8
13751,"(11.07560693943833, 4.799822414733863)",10
13752,"(7.297687287034038, -1.2728784931672674)",4
13753,"(4.811188301171012, 1.228043418474099)",5
13754,"(9.328358500410031, -2.235575078703958)",4
13755,"(-7.839507833749838, 1.4672517462868937)",12
13756,"(10.049087843721233, -0.5438170640222659)",4
13757,"(-9.965511425661859, 2.0499573185708453)",17
13758,"(1.3229937354070316, 2.7763724963348353)",18
13759,"(-8.702162459136545, 1.4722897730787166)",17
13760,"(-0.3205000221118761, 5.01089357118044)",11
13761,"(-0.7124793625317577, 3.2360307605098355)",2
13762,"(-8.601869453139972, -8.360695485198885)",7
13763,"(-6.241958694866451, 2.7154994082223536)",12
13764,"(-5.965359764566941, 9.188352803414531)",13
13765,"(-4.7445117902304474, 5.61006526679242)",15
13766,"(-9.588828419145838, 7.437027454964636)",8
13767,"(-1.4336737244947064, 2.81701594068903)",2
13768,"(-8.797582947464694, 2.6487674881996033)",12
13769,"(10.547078909677527, -2.1430929530615273)",4
13770,"(2.716182691976318, 0.7819596133625208)",1
13771,"(-0.48299766045713977, 3.8306329011618394)",2
13772,"(1.5128665991133186, 4.70848278306269)",0
13773,"(4.514181546451084, 7.011129977460816)",9
13774,"(2.732068653512504, 0.07411422638892984)",1
13775,"(0.5943851728358807, 3.239019240720908)",16
13776,"(1.6196354352057973, 0.7931111122448152)",1
13777,"(-4.130516553611772, 3.149123578947722)",2
13778,"(1.8531504942972157, 0.06443265926445751)",1
13779,"(3.1448721322010993, -1.6651345988099275)",5
13780,"(0.724613719600099, 3.7168846822683888)",0
13781,"(0.3865083667302714, -1.4563620479339119)",14
13782,"(-2.407169263691378, -2.1691235003655276)",14
13783,"(-10.300756192978254, 7.122732686308061)",8
13784,"(-0.3302567731888215, 5.961918007066578)",0
13785,"(6.232541855399542, 1.1385651122450988)",5
13786,"(6.781515531052976, -4.425544234799192)",4
13787,"(9.149383764757049, 2.8738790438371287)",19
13788,"(0.4341046207262058, 8.299628815548543)",3
13789,"(-1.8755227622848858, 2.531935580074314)",2
13790,"(9.232987437956567, 6.573872295826733)",10
13791,"(-9.460523863115919, 6.499099776984987)",8
13792,"(-6.440299808290906, -8.236330388807374)",7
13793,"(-2.580452969427057, 7.136093321946799)",3
13794,"(-7.1689567470659386, 7.811408092050744)",13
13795,"(10.013218903512037, -2.307979686524708)",4
13796,"(1.3126599484818064, -1.788448822884349)",14
13797,"(10.108718176561666, 5.142737006763188)",10
13798,"(-7.103204061533486, 3.1461466979100265)",12
13799,"(3.122810336747206, 6.198732490606883)",9
13800,"(3.065887901689832, 2.30047128003959)",18
13801,"(-1.4270223137076252, 2.607470623638936)",2
13802,"(0.08413771469343756, 5.355885778886141)",11
13803,"(9.694255451775852, -1.8668932170950354)",4
13804,"(-0.6373155420731027, -0.5839997455221859)",16
13805,"(-10.3675527413179, 2.7508267844659575)",17
13806,"(6.083863623988045, 6.877738974020506)",9
13807,"(-5.391738548841093, 6.384472359006898)",15
13808,"(-11.978856398703622, 7.79014755720536)",8
13809,"(-0.11292231018806831, 2.6067202048881972)",18
13810,"(-0.9175743628192758, -1.4050024390079583)",14
13811,"(1.524220732743087, 2.664198950863828)",18
13812,"(-6.630887916395286, 8.124713255662172)",13
13813,"(-6.224985097939884, 9.684872169272953)",13
13814,"(-5.720497549949152, 8.420962872175858)",13
13815,"(-1.2876411503855192, 4.542160856188244)",2
13816,"(-8.028137792002395, 9.082788395072548)",13
13817,"(0.44356728656694056, 5.39453706188289)",0
13818,"(-1.5901212385820012, 3.036524652616294)",2
13819,"(0.6995232638399227, 3.7429459436790937)",0
13820,"(-9.871728112394795, 6.343336009306618)",8
13821,"(-1.598675918609075, 2.0686534746160516)",2
13822,"(-9.89730253716896, 6.428809811068425)",8
13823,"(11.198313309501527, 6.61303184345971)",10
13824,"(0.9794022746520923, 7.605668783363706)",6
13825,"(-0.39193418371382194, 1.5338152193804007)",1
13826,"(6.452954510694576, 8.273803284162517)",9
13827,"(0.947586841048902, 5.987245276121283)",0
13828,"(7.467068237760778, 3.8744204968750657)",19
13829,"(0.4475930602551812, 4.317552998949192)",11
13830,"(0.8578701729569902, 6.41989704497641)",11
13831,"(-1.175437164487715, -0.09235964608555514)",16
13832,"(-1.1371044469797025, 4.63914281960769)",11
13833,"(-1.5785960371528234, 0.8800782306842605)",16
13834,"(-7.268418074511503, 2.032390155512108)",17
13835,"(6.380863581343469, 4.920087768012749)",9
13836,"(-8.00459810129805, 2.264291227606414)",12
13837,"(5.596158480350677, 5.721888721573766)",9
13838,"(-7.619409494233763, 3.4127300906655207)",12
13839,"(-7.439123650897015, 3.2549211694464413)",17
13840,"(-7.081478845864883, 5.075577431073418)",15
13841,"(1.7638393434713133, 3.4456277352916813)",18
13842,"(11.113674461080079, -2.862799454409877)",4
13843,"(3.9138132364512903, 6.4319798286957495)",9
13844,"(0.06987957786338184, 1.2611738696400765)",2
13845,"(2.1400962782167214, 8.386115090920518)",6
13846,"(8.85844869239828, 2.2341756296351063)",19
13847,"(-9.625736632259242, 6.40739529054081)",8
13848,"(7.760911614334612, -0.11067474756032614)",5
13849,"(0.11406620722513439, 3.6259233011205474)",2
13850,"(3.092168287243969, 0.48207034008573196)",1
13851,"(5.5674602178688195, 6.1410094983729415)",9
13852,"(-9.421404850398954, 1.4850767892593604)",12
13853,"(0.8062235401011608, -2.5871510597724434)",14
13854,"(9.55098500592367, -1.1522065954760015)",4
13855,"(0.5154766799767034, -0.7050957128497615)",14
13856,"(-7.5443944959733855, -10.152206489084454)",7
13857,"(0.5874900464118175, 9.351491291076753)",6
13858,"(0.066695186753848, 1.2418112131126995)",16
13859,"(1.4450781582493992, 0.9471236334497268)",18
13860,"(9.498165673963873, 5.9819241307097)",10
13861,"(-9.131269285502066, 5.753027516994861)",8
13862,"(-7.054324860750307, -7.56363280391336)",7
13863,"(-9.191762105285518, -8.394606309150042)",7
13864,"(-5.88359261607728, 8.475002447464778)",13
13865,"(-1.6067637093941411, 3.990063002915273)",2
13866,"(9.85315920884192, -3.127690351702185)",4
13867,"(-5.848929017125306, 5.364676783482476)",15
13868,"(7.220057246020174, 0.8280949520718881)",5
13869,"(6.3695221337684185, 4.279762813120532)",19
13870,"(1.1861195564695504, 3.0631627278921627)",0
13871,"(6.026911061188229, 8.295518417571785)",9
13872,"(-1.4523750745683024, 8.141777665912587)",3
13873,"(4.281758756406825, 3.139705238423554)",18
13874,"(0.2513217267250323, 9.704792175817126)",6
13875,"(1.8834749467297427, 3.4583459853808227)",0
13876,"(-9.084036382261964, -7.55102356338223)",7
13877,"(8.831570274744056, 5.360408665382895)",10
13878,"(-9.874314619772194, 2.1730877583515618)",17
13879,"(-4.509507740776264, 6.1421436097830835)",15
13880,"(3.1739459405616093, 6.2003251777133155)",9
13881,"(-0.5479491297739076, 8.48329605252427)",3
13882,"(2.926514758574329, 1.6843678602671497)",18
13883,"(7.092870836021877, -0.9007818507041487)",5
13884,"(1.9414289261191569, -0.2636396973756885)",1
13885,"(-10.816199148365138, 2.8402264592289117)",17
13886,"(2.000814065060599, 8.536542958746347)",6
13887,"(8.686943047368562, 6.078941226042047)",10
13888,"(-7.30637122573988, 8.992549656337891)",13
13889,"(0.14007805052157069, -4.327939665593051)",14
13890,"(-1.3395119511779612, 6.5573580143853905)",11
13891,"(-0.9073604147990062, 2.4103909501074865)",16
13892,"(-0.8325886993273853, 0.3586035732890862)",16
13893,"(8.62146800003523, 7.482084257545155)",10
13894,"(-4.212064368321271, 6.247058799780964)",15
13895,"(-9.570153939359539, 7.941961107438168)",8
13896,"(-4.850021320546182, 4.892860613446018)",15
13897,"(0.49430860051921877, 2.097424366806199)",1
13898,"(-3.243355069655306, 0.5584519785363878)",16
13899,"(0.546638390522479, -2.804891572476072)",14
13900,"(0.9348679764042245, -0.9932220568298487)",14
13901,"(-5.797938462918271, 2.9502287088133072)",12
13902,"(-8.54366532078123, -6.302072503457578)",7
13903,"(10.23677231896898, 4.98470561808696)",10
13904,"(-7.952724868905978, -8.440377790802271)",7
13905,"(-0.5467916253072228, -0.6089443603565101)",14
13906,"(0.5343579883475131, -2.1652613480583107)",14
13907,"(-6.620314103299093, 4.16112103929358)",12
13908,"(-8.219150662644088, 1.9024991206521493)",12
13909,"(8.850554172293915, -1.5212346190440622)",4
13910,"(1.8670824871749558, 7.767695405274866)",6
13911,"(-0.8681389325330146, 5.960399743177696)",11
13912,"(4.268624895123529, -0.8974640541266523)",5
13913,"(6.166638359007031, 0.33654401027643077)",5
13914,"(-9.14755527598474, 6.442280117822978)",8
13915,"(5.191906664078309, 6.557070295817134)",9
13916,"(7.398202793073532, 1.7285158276195443)",5
13917,"(-0.8636167100902584, 7.074575581405239)",3
13918,"(0.1404332814242082, 0.8593240639949886)",16
13919,"(1.1506431272480206, 2.11010397575373)",0
13920,"(1.2386439906320992, 0.26450137110157557)",1
13921,"(7.658146404275941, 1.2693100606662966)",5
13922,"(2.2849388308986742, 4.277988769193903)",0
13923,"(9.732676016747693, -5.256359607371749)",4
13924,"(9.248689859198123, -1.8668887511660452)",4
13925,"(-10.364518482832999, 1.5081484277293957)",17
13926,"(9.647631652319957, -3.1383646206018256)",4
13927,"(-1.864976153997238, 4.733116465263487)",11
13928,"(0.557188085738673, 4.700893563898169)",0
13929,"(-8.326588183929381, 2.0022646702687115)",17
13930,"(-8.811395937590333, 9.023386624269842)",13
13931,"(9.143595452631953, 2.9889392614316606)",19
13932,"(4.556903146688317, 8.501926573054694)",9
13933,"(6.581212383434198, 8.33091312187266)",9
13934,"(-9.22001804569706, 3.8270020753689837)",17
13935,"(-0.4578875796897869, 6.103069223191004)",11
13936,"(-0.458970486488514, 3.099702287408012)",2
13937,"(-0.9912474040810884, 8.871247865810293)",3
13938,"(-0.8638872668799279, 4.7442125727812465)",11
13939,"(-9.204821679333032, -0.41388834833834576)",17
13940,"(11.55726790826204, 5.420547646136936)",10
13941,"(0.39886796420566584, 1.1942010353591994)",16
13942,"(6.132136186028649, 1.3111524068783806)",5
13943,"(-0.6770540283294137, 2.083070972126689)",16
13944,"(6.0346988914604625, 7.83211732957672)",9
13945,"(0.7742781232883341, 2.8549614387786213)",0
13946,"(1.46993028779454, 0.9160311002052661)",1
13947,"(6.0248687864234025, -0.6452896048791059)",5
13948,"(5.5563029991142985, 0.5391721193160397)",5
13949,"(-2.2224749940702937, 5.9722043352091125)",11
13950,"(-0.9255806049279096, 6.617876167720416)",11
13951,"(5.28830346345499, 8.61435010753168)",9
13952,"(0.4251134815994279, -0.9822692852924534)",14
13953,"(-8.930005997577904, 1.2494905250633392)",12
13954,"(1.8886398029973348, 7.176131169713094)",6
13955,"(-8.497657892772496, 8.759347662295866)",13
13956,"(-7.60827659756558, -8.399444790698508)",7
13957,"(-9.9560943134113, 7.819916482974985)",8
13958,"(-6.66942794133289, 4.665337762750762)",12
13959,"(6.235392992457838, 0.349971222126239)",5
13960,"(8.176380044805098, 4.2662002517723)",19
13961,"(-1.5751383308330378, 5.394233674649879)",11
13962,"(-10.276705748990818, 1.4100993485239712)",12
13963,"(0.680626864933371, 8.165750305768933)",6
13964,"(1.6826065737519782, 8.673709478044813)",6
13965,"(-0.19881580029926826, -0.7894230982559312)",16
13966,"(1.4871449004389126, 5.617941761262339)",0
13967,"(0.6331813792180371, 8.466382276304321)",6
13968,"(10.529775165828514, -2.030038174504436)",4
13969,"(1.5183897637906487, -3.8588549971825223)",14
13970,"(5.202337925788976, 8.240399103240101)",9
13971,"(-8.447572923832936, 2.3598944860650453)",12
13972,"(-5.274171582647894, 4.138872434867393)",15
13973,"(-1.9858739241049659, 2.4138285715170498)",2
13974,"(-0.04364102822871396, -0.3833084733380412)",16
13975,"(5.012149833781422, 2.8938593443328107)",18
13976,"(0.5059599429828693, -1.396442381852824)",14
13977,"(2.1190919345203834, -0.6168984698484119)",14
13978,"(-9.517312611320593, -7.840648539017819)",7
13979,"(4.224221438575915, 1.4851458069650125)",1
13980,"(7.909716240928851, 5.330055199936679)",19
13981,"(-7.563833925169908, 2.7947531038474613)",12
13982,"(-5.406325821398853, 6.10914532971511)",15
13983,"(5.397701389509824, 8.135747527254399)",9
13984,"(-0.5342531502362391, 7.819341589903272)",3
13985,"(-0.8594934397975831, 5.645529834732446)",11
13986,"(0.04114286910895104, 4.685611337067773)",0
13987,"(-10.583325988855401, 5.300691475699401)",8
13988,"(-0.537958736583996, 0.9626671131317208)",16
13989,"(1.8707618002005892, 0.9042488445571142)",1
13990,"(9.478988698058055, -2.6656879297246743)",4
13991,"(1.4284989031315338, -0.1454415939634568)",14
13992,"(1.4394106823383805, 5.064322040019869)",11
13993,"(-1.3682573465282004, 4.851333065978024)",11
13994,"(2.3001508577646685, -1.021339450910495)",14
13995,"(5.591703792048172, 8.076358098455438)",9
13996,"(4.631977157036261, 1.6704290330296951)",5
13997,"(4.735877635075402, 1.182163824052858)",5
13998,"(9.680373774368364, -1.8605743356227342)",4
13999,"(9.751017461776264, 5.664425928635289)",10
14000,"(1.1794843232665178, -1.7447181810492793)",14
14001,"(-7.503557817945272, 9.104628245075768)",13
14002,"(-11.38441147813587, 7.96771306072484)",8
14003,"(-0.9822380749347854, -1.1784061846187317)",14
14004,"(4.459881898823591, 6.811465371838716)",9
14005,"(-2.10529423015942, 5.314786418734164)",11
14006,"(-7.131915765022066, 2.9118787600521117)",12
14007,"(9.75986990540334, 4.678489724827983)",19
14008,"(4.823608630138463, 1.8588261745097916)",5
14009,"(-8.433806276509019, 3.3027438973324674)",12
14010,"(0.34193187315391493, 1.175176528882145)",1
14011,"(2.305138730505398, -0.30658784146090645)",1
14012,"(-3.3959625958565365, 2.4949297649505047)",2
14013,"(-4.911213126506432, 5.103756563429782)",15
14014,"(3.0624066403379215, 2.0595480509061233)",1
14015,"(1.7466616058051818, 9.161526470987424)",6
14016,"(-3.893684612189335, 4.511931463779231)",15
14017,"(0.5980920316535053, 5.156676424717268)",0
14018,"(-8.50211747977257, 3.5019153306790543)",12
14019,"(-6.795837897995265, 1.8206743367400744)",12
14020,"(-7.71540107836332, 2.536353151502501)",12
14021,"(8.444299968684597, 3.097927178549454)",19
14022,"(2.6028360663062067, 1.174475585382826)",1
14023,"(0.459826337605651, -3.616655484016582)",14
14024,"(-12.01389108371174, 8.0098711879834)",8
14025,"(8.975920623998455, 3.2563780402788773)",19
14026,"(6.342195468880636, -0.3326161096474973)",5
14027,"(2.731035003282343, 1.3530487098380226)",18
14028,"(2.5223516597453775, 2.2049098638452858)",18
14029,"(-9.109543442280684, 3.8895159392244656)",17
14030,"(-1.3616753922007696, 6.309064110726547)",11
14031,"(1.018185342228894, 8.27481156599035)",3
14032,"(10.604000680823166, 5.14647926628704)",19
14033,"(9.868050953903602, 7.102475725374374)",10
14034,"(-0.9265761988177834, 2.623441070149646)",16
14035,"(1.0262753706137069, 8.759973221045051)",6
14036,"(11.680751209053609, -1.7523146431853678)",4
14037,"(-1.218044025243924, 3.299982861498297)",2
14038,"(-0.7137111058500724, 2.2005007079055883)",2
14039,"(-10.167695407921226, 3.380677630709462)",17
14040,"(-0.8176229113797278, 6.076407398229867)",11
14041,"(1.0784484054904657, 4.808782049228401)",0
14042,"(8.407121116887186, 6.743684288271474)",10
14043,"(0.7472746634570906, 5.828433758248007)",0
14044,"(0.40299865141492686, -1.4567533311364618)",14
14045,"(-9.97383637276324, 7.881921567483078)",8
14046,"(-10.485239300584155, 6.0451483741442775)",8
14047,"(10.178071343143033, -2.52665491196476)",4
14048,"(2.0436841576801394, 7.52698160572895)",6
14049,"(-1.8697213011282385, 8.159920771088327)",3
14050,"(5.4842871930255805, 6.140930700111211)",9
14051,"(0.16628111300171267, 6.00798136091234)",11
14052,"(8.250831470567304, 6.924577997130971)",10
14053,"(-6.76727454065135, 7.385538368023126)",15
14054,"(8.318740872070311, -2.1427132066449985)",4
14055,"(-7.65988494700646, -9.758101903883945)",7
14056,"(-0.36298381652195033, -1.309349462720054)",14
14057,"(8.152520387472842, -2.232490775120709)",4
14058,"(-8.166464250672382, 2.1142821891425916)",12
14059,"(6.047629912741482, 0.6240699243594423)",5
14060,"(2.93631896422985, 2.7668887555357697)",18
14061,"(-8.415661374520079, 4.702571432107348)",17
14062,"(-2.4708864439722182, -0.40794380921312934)",16
14063,"(-3.4385749486663637, 3.852687673838644)",2
